Time &Domain0 &Domain1 &Domain2 &Domain3
270.0478716721 0.3221451739 0.3189915092 0.2262708433 0.1325924736
271.0025463205 0.3177445309 0.3146339466 0.2231798853 0.1444416371
272.1357335689 0.3177445309 0.3146339466 0.2231798853 0.1444416371
273.2317875737 0.3177445309 0.3146339466 0.2231798853 0.1444416371
274.036886901 0.3150327627 0.3119487255 0.2212751724 0.1517433393
275.1688761589 0.3150327627 0.3119487255 0.2212751724 0.1517433393
276.1233871094 0.3150327627 0.3119487255 0.2212751724 0.1517433393
277.0764045291 0.3150327627 0.3119487255 0.2212751724 0.1517433393
278.039381367 0.3150327627 0.3119487255 0.2212751724 0.1517433393
279.0253740825 0.309287181 0.3062593906 0.235477591 0.1489758375
280.0678561622 0.3076904718 0.3046783125 0.2394244729 0.1482067429
281.0367321023 0.3076904718 0.3046783125 0.2394244729 0.1482067429
282.0671576578 0.3076904718 0.3046783125 0.2394244729 0.1482067429
283.2680362369 0.3076904718 0.3046783125 0.2394244729 0.1482067429
284.0815688748 0.3076904718 0.3046783125 0.2394244729 0.1482067429
285.0748585315 0.3076904718 0.3046783125 0.2394244729 0.1482067429
286.3161568281 0.3076904718 0.3046783125 0.2394244729 0.1482067429
287.1284239992 0.3076904718 0.3046783125 0.2394244729 0.1482067429
288.1130684937 0.3076904718 0.3046783125 0.2394244729 0.1482067429
289.0479970576 0.3076904718 0.3046783125 0.2394244729 0.1482067429
290.0093420461 0.3076904718 0.3046783125 0.2394244729 0.1482067429
291.0095283495 0.3325338386 0.2937450019 0.2308327812 0.1428883783
292.0740185604 0.3325338386 0.2937450019 0.2308327812 0.1428883783
293.0677795637 0.3325338386 0.2937450019 0.2308327812 0.1428883783
294.0785367963 0.3325338386 0.2937450019 0.2308327812 0.1428883783
295.0907810071 0.3325338386 0.2937450019 0.2308327812 0.1428883783
296.0562530236 0.3325338386 0.2937450019 0.2308327812 0.1428883783
297.1734875176 0.3325338386 0.2937450019 0.2308327812 0.1428883783
298.0048034138 0.3325338386 0.2937450019 0.2308327812 0.1428883783
299.1288910478 0.3325338386 0.2937450019 0.2308327812 0.1428883783
300.481808774 0.3325338386 0.2937450019 0.2308327812 0.1428883783
301.0842863078 0.3325338386 0.2937450019 0.2308327812 0.1428883783
302.1314101696 0.3325338386 0.2937450019 0.2308327812 0.1428883783
303.0438366028 0.3325338386 0.2937450019 0.2308327812 0.1428883783
304.1629686294 0.3325338386 0.2937450019 0.2308327812 0.1428883783
305.5933911924 0.3325338386 0.2937450019 0.2308327812 0.1428883783
306.0655575848 0.3157643673 0.2789316271 0.2191920299 0.1861119757
307.0998205229 0.3157643673 0.2789316271 0.2191920299 0.1861119757
308.0050377188 0.3157643673 0.2789316271 0.2191920299 0.1861119757
309.12314322 0.3122257557 0.2758057814 0.2167356557 0.1952328072
310.0636460693 0.3122257557 0.2758057814 0.2167356557 0.1952328072
311.2197672073 0.3122257557 0.2758057814 0.2167356557 0.1952328072
312.2931103701 0.3122257557 0.2758057814 0.2167356557 0.1952328072
313.0347326351 0.3122257557 0.2758057814 0.2167356557 0.1952328072
314.1894513357 0.3073175018 0.2871902654 0.2133285261 0.1921637067
315.1702907735 0.3073175018 0.2871902654 0.2133285261 0.1921637067
316.2197021274 0.3059680176 0.2859291634 0.2123917637 0.1957110552
317.2094984965 0.3059680176 0.2859291634 0.2123917637 0.1957110552
318.1010276707 0.3059680176 0.2859291634 0.2123917637 0.1957110552
319.0045940967 0.3059680176 0.2859291634 0.2123917637 0.1957110552
320.1043265503 0.3059680176 0.2859291634 0.2123917637 0.1957110552
321.0277631973 0.3011317672 0.281409655 0.2248410082 0.1926175696
322.1314796207 0.3011317672 0.281409655 0.2248410082 0.1926175696
323.4666522517 0.2990115158 0.2794282659 0.2232579156 0.1983023027
